palavra,quantidade
entre,22492
foram,20509
sobre,15303
mesmo,11319
parte,11134
maior,10995
sendo,10604
ainda,10476
muito,8361
tinha,8073
forma,7536
tempo,7319
todos,7125
havia,7021
norte,7006
antes,6757
final,6472
desde,6421
então,6414
mundo,6413
pelos,6362
assim,6350
cerca,5550
álbum,5277
grupo,5102
vezes,5062
filme,5010
época,4971
série,4852
outro,4827
porém,4498
longo,4194
menos,4151
pouco,4107
morte,3988
podem,3951
jogos,3894
todas,3887
força,3804
cinco,3802
tendo,3769
estão,3678
poder,3644
tarde,3642
geral,3636
obras,3615
disso,3590
julho,3582
local,3537
reino,3529
paulo,3501
terra,3458
seria,3453
junho,3432
total,3424
março,3402
abril,3339
quase,3325
outra,3294
quais,3179
lugar,3127
mesma,3104
fazer,3103
disse,3037
pelas,2983
navio,2974
ficou,2951
volta,2935
tanto,2867
disco,2770
média,2720
papel,2715
corpo,2682
fosse,2637
áreas,2604
tenha,2595
apoio,2595
livro,2571
filho,2569
faixa,2482
idade,2458
meses,2380
ponto,2349
unido,2300
forte,2261
banda,2237
nunca,2235
maria,2154
novos,2137
campo,2133
desta,2126
ambos,2108
saúde,2090
pedro,2089
ordem,2083
homem,2069
junto,2068
teria,2067
conta,2050
estes,2033
causa,2029
nível,2026
união,2025
linha,1999
feito,1992
comum,1979
lista,1964
vídeo,1944
novas,1941
porto,1924
único,1904
santa,1901
única,1886
valor,1858
ideia,1852
menor,1852
levou,1851
japão,1827
plano,1814
essas,1788
horas,1780
perto,1751
esses,1747
dados,1742
neste,1741
serem,1727
aérea,1709
oeste,1703
minas,1681
museu,1666
deste,1660
estar,1656
atual,1626
agora,1624
nesse,1621
deles,1579
vista,1575
noite,1573
music,1565
frota,1560
casos,1553
leste,1553
dessa,1550
houve,1549
naval,1547
falta,1501
desse,1482
chefe,1460
usado,1454
estas,1451
jovem,1442
costa,1427
paris,1418
notas,1402
visto,1384
acima,1355
santo,1350
civil,1328
jesus,1321
nesta,1307
armas,1301
massa,1296
peças,1289
criar,1289
baixo,1279
feita,1271
corte,1255
atrás,1250
torno,1241
irmão,1239
cargo,1236
algum,1236
longa,1236
filha,1219
visão,1216
solar,1201
médio,1192
ilhas,1175
jorge,1175
livre,1172
cenas,1172
artes,1172
ações,1145
risco,1126
world,1120
china,1111
temas,1110
termo,1098
baixa,1098
nossa,1094
verão,1089
líder,1073
vinte,1072
james,1069
reais,1062
autor,1062
capaz,1062
fonte,1056
porta,1056
times,1052
david,1048
grego,1044
nessa,1034
duque,1031
super,1025
ajuda,1021
clube,1013
setor,1012
terem,1004
povos,1002
criou,1000
usada,998
carta,996
rádio,995
redor,992
nomes,989
perda,989
crise,969
swift,967
turnê,964
delas,956
ambas,940
preto,935
clima,929
fundo,924
busca,920
tipos,914
dando,913
xviii,894
egito,885
podia,879
queda,860
aéreo,851
minha,850
mudou,846
águas,837
mídia,837
natal,837
alemã,835
pedra,834
casas,822
dança,821
scott,820
white,813
razão,812
bordo,810
amigo,808
nação,796
marca,792
mario,785
ferro,780
resto,780
torna,780
metal,778
civis,766
texto,752
pediu,748
posto,745
favor,738
negro,735
lunar,731
festa,730
trono,725
fazia,725
atriz,722
grega,719
curso,719
sejam,718
dizer,715
levar,712
recém,706
canal,701
ficar,699
danos,692
devem,687
praça,687
ciclo,680
meios,679
índia,673
casal,673
prata,672
achou,672
palco,667
velho,664
torre,663
claro,661
ponte,660
golpe,656
longe,655
vento,653
stone,653
obter,650
censo,650
bahia,650
coisa,646
olhos,644
certo,644
votos,643
manhã,638
ritmo,637
conde,635
passo,632
dance,628
venda,625
latim,623
harry,621
silva,619
teste,615
vocal,610
culto,608
fazem,603
jones,603
altas,601
motor,599
coroa,595
serra,594
posse,589
cores,585
zonas,583
black,583
anual,582
passa,581
press,579
verde,578
bases,577
tomar,575
morto,574
dupla,573
russo,570
carga,570
césar,569
prova,566
rural,563
ampla,563
falar,562
letra,552
banco,552
avião,551
certa,550
gales,550
bacia,544
royal,544
monte,542
vírus,539
cauda,534
tomou,533
sítio,533
custo,532
henry,530
smith,529
facto,529
suíça,528
piano,527
peter,526
renda,520
pouca,518
saber,518
velha,513
troca,512
moral,506
bispo,504
órgão,503
frank,500
invés,496
elite,495
sexta,494
globo,493
altos,492
muita,492
vidas,490
carey,488
deram,487
vapor,486
seres,486
preso,484
ossos,483
pista,478
marco,477
video,475
igual,472
viver,471
breve,471
feira,470
lados,469
possa,468
cento,467
padre,466
poeta,465
brown,464
cujos,464
prazo,462
carro,461
abriu,460
mudar,458
ópera,457
larga,457
penas,454
curto,452
durou,449
trata,449
sinal,447
russa,446
salto,445
lorde,444
nixon,443
deusa,443
negra,441
saída,440
praia,437
segue,437
casou,435
caças,434
carne,433
seção,432
fator,431
curta,431
canto,430
vindo,429
poema,429
grand,428
treze,428
nosso,426
árabe,424
gosto,422
clara,421
honra,416
assis,412
viria,410
cerco,409
taxas,409
sexto,405
calor,404
ouvir,403
sigma,403
chuva,401
legal,397
porte,397
lucas,397
fácil,390
notou,387
cujas,387
mente,387
cópia,385
grave,384
vivos,384
